75.77,1.37,2.05,0,3.75,0.68,0,0,0,0,0,13.14,0.17,0,0,4.1,0.34,1
80.6,2,0.46,0,2.46,0.54,0.15,0,0.23,0,0.15,14.4,0.23,0,0,0.62,0.77,1
65.34,1.32,0.96,0,1.08,2.29,0,0.36,0,0.48,0.6,18.89,2.89,0,0,0.24,0,1
73.35,1.13,0.38,0,1.13,0.19,0.38,0,0,0,0,15.12,0.76,0,0,1.7,0.76,1
76.28,1.14,0.28,0,1.99,0.28,0.28,2.41,0.14,0,0,15.48,0.14,0,0,0.71,0.28,1
87.88,2.12,0.38,0.22,3.04,0.82,0.11,0.05,0,0,0.27,11.58,0.49,0.11,0.05,0,0.22,1
78.82,1.52,0.41,0.1,1.22,0,0.41,0,0,0,0,10.94,0.1,0.3,0,0.1,0,1
71.66,1.85,0.18,0.55,2.09,0.25,0.18,0,0.12,0,0.12,12.88,0.43,0,0.12,0.25,2.22,1
70.39,2.72,0.96,0.07,1.18,0.29,0.15,0,0.07,0.15,0.07,20.13,0.59,0,0.59,1.18,0.59,1
69.43,1.18,3.29,0.51,1.54,0.41,0.31,0,0,0,0.05,18.68,0.36,0.1,0,1.7,0.51,1
77.27,3.62,0.66,0,1.65,0.49,0.16,0,0.16,0,0,17.79,0.82,0.82,0,0.82,0.66,1
84.67,2.31,0.28,0.28,1.57,1.75,0,0.09,0,0,0,19.58,1.2,0,0,1.85,0,1
71.02,2.67,1.33,0.1,2.29,0.48,0.19,0.19,0.1,0,0,13.82,0.38,0,0,1.14,0.19,1
79.28,1.01,2.58,0.22,1.57,1.57,0.34,0,0,0,0,21.72,0.11,0.78,0.22,1.34,0.22,1
69.34,3.58,0.58,0,1.35,0.39,0,0,0.87,0,0,28.82,0.19,0,0,4.35,0,1
77.76,2.28,0.38,0.19,1.14,0.38,0,0.38,0,0,0,14.07,0.19,0.19,0,0.57,0.38,1
84.95,3.18,0.58,0.43,1.74,0.43,2.6,0.14,0.29,0.14,0,18.38,2.03,0,0.29,0,1.74,1
86.18,3.74,0.12,0,2.49,0.12,0,0,0,0,0,15.69,0.75,0,0,0.5,1.99,1
76.67,1.93,1.49,0,1.58,1.84,0.35,0.18,0,0,0.26,17.98,0.09,0,0.18,0.44,0.18,1
73.25,2.99,5.86,0,2.3,1.84,0.57,0.11,0,0.11,0.11,16.42,0.11,0,0,2.99,0,1
79.91,1.4,1.09,0,0.93,0.16,0.62,0,0,0,0.16,14.33,0.31,0,0,0.62,0.47,1
73.97,6.12,0.11,0.11,2.22,0.05,0.11,0.53,0,0.11,0.11,18.32,0.11,0.05,0.16,1.85,1.9,1
87.14,0.9,0.45,1.2,1.49,0.3,0.6,0,0.6,0.15,0,18.54,0.15,0,0,1.05,0.9,1
71.06,3.77,0.86,0.17,0.86,1.37,3.25,0,2.05,0.17,0,28.42,0.17,0,0.51,1.37,2.4,1
79.94,1.85,0.17,0.34,2.58,0.39,0.34,0,0,0,0,16.69,0.06,0,0,0.51,0.34,1
80.46,0.84,0.34,0.34,3.25,0.17,1.29,6.38,0,0.11,0.11,14.61,0.34,0.06,0.34,0.11,0.78,1
72.4,2.32,0.27,0,2.32,0,0,0.41,0,0.14,0.14,25.27,1.23,0,0,1.37,1.09,1
90.2,1.5,0.5,0.19,1.87,0.44,1.37,0.5,0.12,0,0.31,16.79,0.31,0.12,0.06,0.81,0.12,1
74.78,2.33,1.43,0,1.07,0.54,0.18,0.36,0,0,0,13.6,0.89,0,0.18,0,0,1
76.75,3.36,0,0,1.54,0,0.56,0,0.14,0.14,0,19.33,0.28,0,0,1.54,2.52,1
84.36,0.76,0.66,0,3.13,0.09,0.57,0.19,0,0.09,0.19,12.99,0.19,0,0,0.28,0.19,1
82.13,3.6,0.12,0.12,1.51,0.23,0.46,2.9,0,0.35,0.35,12.06,0.12,0,0.23,0.46,0.23,1
76.99,4.14,0.61,0.46,2.91,0,0.15,0,1.38,0.15,0,16.87,0.77,0,0,1.38,0.92,1
77.48,2.98,2.81,0.83,1.16,0.33,0.17,0.66,0.17,0,0.17,19.87,0.66,0,0,1.16,0.66,1
84.49,1.25,0.53,0,1.07,0.71,0.53,0.18,0.53,0.36,0.18,15.69,0,0,0.18,0.89,0,1
83.05,1.02,0.34,0,1.81,0.51,0.28,0.45,0,0,0.06,8.96,0.79,0,0,0.11,0,1
82.96,2.04,0.54,0.43,1.61,0.64,0.96,0.64,0.11,0.11,0.11,19.51,1.07,0,0,0.54,0,1
84.52,1.54,1.28,0,3.59,1.28,0.09,0,0.17,0,0,18.82,0.77,0,0,0.77,0.6,1
80.15,0.88,0.22,0.11,1.98,1.05,0.28,0,0.17,0.11,0,16.81,0.22,0,0.06,0.72,0.77,1
74.67,2.07,0.43,0,2.93,1.09,0,0,0,0,0.11,18.26,0.54,0,0,0.54,0.22,1
77.34,2.76,0.77,0,1.07,0,0,0.15,0.92,0.15,0,18.99,0.15,0,1.23,0.15,2.14,1
72.64,2.21,1.41,0.2,2.31,0.7,0.4,0.1,0,0,0.1,20.93,0.2,0,0,1.61,1.01,1
80.18,1.78,0.12,0.04,2.66,2.97,0.24,0.16,0,0,0.16,14.94,0.48,0.16,0,0.99,1.43,1
74.29,2.83,1.75,0,1.48,0.81,0.27,0,0,0,0,16.15,0,0,0,1.08,0,1
75.42,2.44,0.31,0,2.6,0.15,0,0.15,0,0,0.31,14.35,0.15,0,0.15,0.31,0.92,1
80.62,1.92,1.88,0.14,2.66,0.32,0.32,0.09,0.05,0.05,0.14,18.83,0.09,0.14,0,0.64,1.83,1
73.41,1.89,2.4,0,1.37,1.89,0.51,0.86,0.34,0,0,21.1,0.17,0,0,1.03,2.4,1
79.94,2.94,0.29,0,2.54,0.78,0,0,0,0,0.1,15.36,0.39,0.1,0,0.49,0.39,1
62.26,1.94,0.88,0,1.76,0.53,0.53,0,0,0.18,0,18.17,1.94,0,0,1.06,0.35,1
89.01,1.54,0.41,0,1.71,0.53,0.24,0.12,0,0,0.06,9.69,0,0.3,0,0.18,0.12,1
71.6,2.61,0,0,1.22,0.7,0,0.17,0.35,0,0,12.2,0.35,0,0,0.7,0.7,1
75.95,0.73,1.59,0.12,0.92,0.55,0.31,0,0.12,0.24,0.18,30.91,0,0.06,0.06,2.26,1.35,1
68.18,1.84,0.87,0,1.52,0.11,0.22,0.22,0,0,0.11,13.1,0.32,0,0,0.54,1.95,1
84.43,2.77,0.13,0.13,1.72,2.77,0.66,0,0,0,0.13,17.28,0.26,0.13,0,0.79,0.26,1
73.01,1.08,2.16,0.2,1.77,0.29,0.39,1.08,0,0,0,15.7,0.2,0.1,0.1,1.28,0,1
74.55,2.93,0.38,0.38,0.89,0.38,0.13,0,0,0.25,0.13,15.52,0.38,0.13,0,2.16,0.76,1
78.68,1.57,0.31,0,4.7,0.16,0.63,1.41,0.16,0,0,20.53,0.94,0,0,0.94,3.29,1
80.73,2.5,0.75,0.5,0.75,0.25,0.63,0,0.25,0,0.13,24.28,0.25,0,0.13,2,0.75,1
85.1,1.18,1.76,0,1.76,0.59,0.2,0,0,0.59,0,16.08,0.2,0,5.88,0,0,1
80.56,0.97,1.16,0.39,0.97,0.48,0,0.19,0,0.1,0,14.6,0.19,0,0,0.58,0.19,1
74.51,1.25,3.2,0,1.67,2.23,0.14,0.42,0,0,0.14,18.38,0.28,0.28,0,1.67,0.28,1
83.5,3.73,0.59,0.2,2.36,0,0.59,0,0.59,0,0,11.2,0.2,0,0,0.2,0,1
81.35,1.4,0.38,0.13,1.02,0.26,0.26,0,0,0,0,16.09,0.51,0,0,1.15,0,1
77.07,6.33,0.07,0.07,2.55,0.22,0.07,0,0.07,0.22,0.15,27.15,0.95,0.29,0.51,2.4,2.04,1
84.95,1.71,0.57,0.95,2.48,0.95,0.19,0,0.19,0,0,19.05,0.19,0,0,0.57,0,1
78.7,1.5,3.13,0.5,1.25,0.63,0.13,0,0.13,0.13,0.13,14.54,0,0,0,0.38,0,1
76.8,0.8,2.51,0,5.03,0.11,0.11,0,0,0,0.11,12.57,0,0.11,0,1.14,0.46,1
78.21,2.76,0.43,0.1,2,0.4,0.17,0.07,0.17,0.07,0.02,17.51,0.33,0.29,0.14,1.5,1.07,1
81.21,1.97,1.06,0,1.21,1.67,0.3,0,0,0,0.15,18.03,0.61,0.45,0.45,0.45,0.3,1
84.71,3.9,0.3,0.15,1.5,1.05,0.15,0,0,0,0,17.09,0.6,0,0.15,1.05,2.4,1
75.58,3.12,0.39,0.13,1.17,1.43,0.39,0,0,0.13,0.39,22.08,0.26,0,0,0.39,0.52,1
76.46,1.01,2.6,0,1.81,0.22,0.51,0.14,0,0,0,17.18,0.22,0.79,0.07,0.72,1.3,1
79.78,0.74,0.51,0.07,2.28,0.66,0.51,0.15,0.37,0,0,16.03,0.44,0.59,0,0.44,1.18,1
81.36,1.08,0.2,0.1,0.79,0.1,0.49,0.1,0.1,0.1,0.2,13.21,0.3,0,0.1,0.69,0,1
68.89,0.95,2.06,0,1.11,0.16,0,0,0,0.32,0,18.25,0.48,1.9,0.32,0.63,0,1
79.43,0.82,0.27,0.18,1.55,1.1,0,0,0.64,0.27,0.27,20.57,0.18,0,0.18,0.55,0.55,1
88.25,0.42,0,0,2.38,0.14,1.12,0,0,0,0,8.95,0.14,0.14,0,0,0,1
76.1,1.3,1.06,0.04,1.1,0.51,0.2,0.12,0,0,0.04,19.17,0.39,0,0,0.79,0.31,1
77.65,1.48,0.35,0,4.32,0.18,0.41,0.06,0.47,0.12,0.12,16.79,0.41,0.12,0,0.83,1.89,1
78.24,1.3,0.46,0.09,2.59,0.19,0.28,0.09,0,0,0.19,14.72,0,0.19,0,0.46,0.93,1
69.02,2.19,1.27,0.21,1.47,0.35,0.46,0.64,0.14,0.09,0,16.34,2.53,0.58,0.21,1.52,0.14,1
73.71,4.18,0.99,0.47,1.08,0.7,0.23,0.23,0.19,0.05,0.05,17.65,0.14,0.14,0.05,0.94,0.28,1
81.24,0.31,0.62,0.62,1.71,0.62,0.16,0.31,0.16,0,0,16.74,1.55,0.16,0,0,1.24,1
78.68,1.78,0,0.13,1.78,0.92,0.2,0.13,0,0.07,0.07,11.84,0.2,0,0.13,0.59,0,1
77.01,2.09,0.3,0.3,1.79,0.75,0.3,0,0.15,0,0,14.48,0.15,0,0,0.45,1.79,1
78.83,1.09,0,0.95,0.95,0.95,0.68,2.31,0,0,0,14.38,0.41,0.14,0,0.95,1.09,1
82.04,0.76,2.27,0,1.7,0.38,0.76,0,0,0,0.19,15.31,0,0,0,1.51,0.76,1
89.14,1.83,0.31,0.31,3.98,0.15,0.15,0,0,0,0,14.07,0.61,0,0,1.07,0,1
