function,article,prep,number,quant,anger,friend,cause,hear,bio,time,swear,netspeak,Type
51.14,9.89,10.65,2.28,2.28,0.38,0.19,1.14,0.38,0.95,4.18,0,0,Fake
51.23,4.92,14.04,3.18,1.88,0.58,0.43,1.74,0.43,3.04,3.04,0,0.29,Fake
45.95,7.97,16.19,3.74,3.74,0.12,0,2.49,0.12,6.1,9.46,0,0,Fake
47.54,8.51,15,1.93,0.7,1.49,0,1.58,1.84,2.02,4.82,0,0,Fake
36.74,8.38,16.3,2.99,2.41,5.86,0,2.3,1.84,0.92,4.71,0,0,Fake
52.02,10.12,16.51,1.4,1.4,1.09,0,0.93,0.16,1.56,7.63,0,0,Fake
37.54,6.92,14.78,6.12,2.59,0.11,0.11,2.22,0.05,0.79,5.54,0,0,Fake
51.72,7.47,14.35,0.9,4.33,0.45,1.2,1.49,0.3,3.14,3.44,2.69,0.6,Fake
38.36,11.13,12.5,3.77,1.88,0.86,0.17,0.86,1.37,2.23,2.91,0.17,2.05,Fake
47.64,8.99,14.83,1.85,2.25,0.17,0.34,2.58,0.39,0.22,2.08,0,0,Fake
49.44,7.28,13.77,0.84,3.81,0.34,0.34,3.25,0.17,7.73,3.3,0,0,Fake
42.9,8.33,14.48,2.32,2.6,0.27,0,2.32,0,1.91,4.23,0,0,Fake
54.43,4.62,12.86,1.5,2.18,0.5,0.19,1.87,0.44,2.68,3.87,0.12,0.12,Fake
44.19,8.23,14.49,2.33,1.79,1.43,0,1.07,0.54,0.72,4.65,0,0,Fake
40.9,8.96,14.99,3.36,1.82,0,0,1.54,0,0,2.52,0,0.14,Fake
50.71,8.82,15.07,0.76,1.33,0.66,0,3.13,0.09,0.76,5.02,0,0,Fake
50.93,5.45,13.23,3.6,2.2,0.12,0.12,1.51,0.23,3.48,6.26,0.12,0,Fake
46.47,9.36,12.58,4.14,1.23,0.61,0.46,2.91,0,1.07,3.22,0,1.38,Fake
40.4,7.95,14.07,2.98,0.83,2.81,0.83,1.16,0.33,3.97,5.79,0,0.17,Fake
51.52,9.27,16.4,1.25,1.43,0.53,0,1.07,0.71,1.96,8.38,0,0.53,Fake
50,8.62,16.04,1.02,2.66,0.34,0,1.81,0.51,1.13,2.27,0,0,Fake
48.77,8.15,12.86,2.04,1.61,0.54,0.43,1.61,0.64,1.71,4.72,0,0.11,Fake
53.55,9.32,14.03,1.54,1.54,1.28,0,3.59,1.28,0.86,5.22,0,0.17,Fake
50.88,9.48,13.67,0.88,1.93,0.22,0.11,1.98,1.05,0.55,2.7,0,0.17,Fake
41.3,7.17,13.37,2.07,1.85,0.43,0,2.93,1.09,0.22,2.93,0,0,Fake
45.18,4.29,15.62,2.76,1.23,0.77,0,1.07,0,1.23,6.58,0.15,0.92,Fake
39.03,8.05,15.59,2.21,1.11,1.41,0.2,2.31,0.7,0.4,6.04,0,0,Fake
47.28,8.36,15.22,1.78,2.14,0.12,0.04,2.66,2.97,2.97,2.02,0,0,Fake
45.22,8.21,14.4,2.83,1.75,1.75,0,1.48,0.81,0.27,4.44,0,0,Fake
47.18,9.92,15.11,2.44,2.44,0.31,0,2.6,0.15,0.76,5.5,0,0,Fake
