function,article,prep,number,quant,anger,friend,cause,hear,bio,time,swear,netspeak,Type
42.54,8.96,16.23,5.02,1.2,2.81,0.11,2.47,0.07,0.97,3.67,0,0.19,Fake
40.5,8.64,14.4,4.99,3.26,0.19,0,2.88,0.96,0.19,7.87,0,0,Fake
53.31,10.91,16.57,2.49,5.39,0.41,0,1.93,0.41,0.55,3.73,0.28,0.14,Fake
42.77,10.05,16.59,1.22,1.98,0.46,0,2.59,0.46,2.44,2.74,0,0.15,Fake
50.03,7.18,15.92,1.5,1.44,2.54,0,1.76,0.78,0.59,4.17,0,0.07,Fake
51.36,9.04,14.73,1.4,1.01,0,0.08,1.4,0.39,0.16,6.16,0,0.08,Fake
50.14,7.68,13.27,3.77,2.23,0,0,1.4,0.14,0.7,7.96,0,0.42,Fake
40.29,6.12,11.84,3.32,0.93,0.93,1.06,1.2,0.66,1.46,2.53,0,1.99,Fake
43.71,7.61,13.66,0.98,1.95,1.07,0,2.15,0.29,1.07,2.63,0.1,0.1,Fake
47.85,6.54,15.95,2.71,3.99,0.96,0.16,2.87,0.16,0.64,3.99,0,0,Fake
44.77,8.13,15.55,1.52,2.5,0.18,0.18,2.41,0.09,2.14,2.5,0,0.09,Fake
45.62,7.93,13.9,2.37,2.88,2.68,0,0.93,0.41,0.82,3.3,0,0,Fake
50.57,6.7,13.6,0.77,1.72,1.34,0,1.34,0.38,0.57,1.92,0.38,0,Fake
47.65,8.42,12.98,2.14,2.28,2.57,0,1.14,0.57,3.71,5.28,0,0.14,Fake
38.77,6.36,14.31,3.38,1.79,1.99,0.4,0.6,0.6,0.6,4.57,0,1.79,Fake
43.27,9.52,15.1,1.65,3.93,4.44,0.13,2.54,0.89,2.79,4.19,0,0.38,Fake
43.61,9.64,13.82,2.09,2.2,2.04,0.06,1.32,0.22,0.55,4.68,0.28,0.06,Fake
46.2,9.92,15.19,3.26,1.71,0.93,0.47,1.4,0.16,0.16,7.6,0,0.16,Fake
42.02,10.21,14.37,1.69,1.64,1.59,0.05,1.39,1.23,1.08,3.8,0,0,Fake
48.54,7.56,14.69,2.41,2.58,2.23,0.26,1.2,1.29,1.8,3.09,0.09,0.17,Fake
42.14,11.45,15.27,2.35,0.44,0.44,0.15,1.91,0.88,0.44,2.94,0,0,Fake
40.72,9.71,13.71,1.86,1.86,0.2,0,1.66,0.73,3.86,3.66,0,0,Fake
58.65,7.49,14.99,1.15,1.59,0,0,2.45,0.43,3.89,4.61,0,0,Fake
47.08,10.44,13.63,1.95,2.65,2.12,0,1.77,1.24,1.06,4.42,0.18,0.18,Fake
42.13,11.01,15.21,2.45,0.35,0,0,1.22,1.57,0.35,5.59,0,0,Fake
43.41,7.55,15.93,1.92,0.82,0.96,0.14,2.2,0.55,0.96,5.22,0,0.69,Fake
41.61,7.92,15.95,1.67,1.98,0.1,0.21,1.25,0.63,0.31,5.84,0,0,Fake
32.15,5.33,11.64,6.31,0.79,0.59,0.79,0.2,0.2,0.79,6.31,0,1.58,Fake
46.45,10.06,14.04,2.95,1.2,0.74,0,1.94,0.09,0.83,5.72,0,0,Fake
54.11,8.28,15.1,1.46,2.35,0.16,0.67,1.43,1.3,1.9,4.85,0.06,0,Fake
42.93,9.73,17.11,3.07,1.95,0.2,0.1,0.82,1.13,0.72,5.84,0,0.82,Fake
35.1,7.62,13.58,3.64,1.16,0.17,0,0.83,0.66,1.66,5.79,0,1.49,Fake
43.14,9.57,13.9,1.99,2.17,0,0,3.07,0.72,0.72,3.25,0,0,Fake
42.95,8.92,15.06,1.67,1.04,1.12,0,1.83,0.56,0.72,3.59,0.08,0,Fake
51.63,8.09,12.6,1.56,1.56,0.47,0,1.71,0.62,0,1.87,0.16,0.31,Fake
39.51,7.34,18.01,8.74,2.62,0.17,0,0.52,0.17,0.17,10.66,0,1.05,Fake
32.14,6.05,15.12,3.21,4.35,0,0.19,2.08,0,4.16,6.99,0,0.19,Fake
40.26,10.66,14.34,0.55,1.65,2.21,0,1.84,0.55,0.55,2.76,0,1.1,Fake
43.59,8.19,16.55,1.96,2.49,0.71,0.71,0.89,1.42,0.36,4.8,0,0.18,Fake
42.81,7.35,15.69,3.1,3.1,1.8,0,1.63,0.82,0.33,2.61,0,0.49,Fake
50.98,7.34,16.4,1.79,2.22,0.17,0.34,2.73,0.34,0.94,10.16,0,0,Fake
42.87,8.88,15.68,1.97,2.19,0.99,0.22,1.1,0.55,2.19,3.07,0,0,Fake
37.6,7.27,15.34,5.54,2.19,0.35,0.23,1.15,0.23,0.92,5.42,0,0.12,Fake
45.72,9.82,15.4,1.89,2.44,0.63,0.16,2.67,0.63,1.26,2.99,0,0,Fake
47.16,9.93,14.79,2.2,1.29,2.28,0.08,1.57,0.75,0.67,3.37,0.04,0.82,Fake
49.75,6.96,14.94,2.55,1.36,0.17,0.17,1.87,1.36,2.55,3.57,0,0,Fake
45.41,12.82,14.7,1.1,2.1,2.1,0,1.44,0.33,0.66,5.75,0.11,0,Fake
54.77,6.17,16.64,1.74,3.36,1.07,0,2.42,0.81,0.94,3.22,0.4,0,Fake
48.89,10.44,14.91,4.58,1.7,0.05,0.1,1.85,0.46,0.82,5.19,0,0.05,Fake
47.78,6.56,15.6,2.54,2.89,0.56,0.07,2.33,0.71,0.56,4.16,0.07,0,Fake
44.69,11.9,16.56,3.22,1.61,1.77,0,3.86,0,0.16,4.5,0,0,Fake
46.11,9.28,14.22,0.6,1.8,0.45,0.15,2.54,1.05,0.45,4.79,0,0,Fake
46.87,11.75,14.94,1.53,1.02,1.53,0,4.73,0.26,0.26,1.53,0,0.26,Fake
51.36,9.32,15.85,3.42,2.8,0.78,0.08,2.41,0.16,0.39,4.51,0,0,Fake
47.12,5.85,14.05,2.71,2.53,1.92,0.26,2.18,0.96,0.96,3.49,0.17,0.09,Fake
49.58,8.65,15.47,0.85,2.18,1.38,0.04,1.87,0.22,0.67,3.7,0,0,Fake
45.52,9.87,14.81,2.56,1.1,3.29,0,2.01,0.55,0.18,3.29,0,0,Fake
49.19,8.53,15.63,1.12,2.43,0.5,0.12,1.18,0.68,0.37,5.54,0,0,Fake
45.48,10.61,15.03,1.18,1.47,1.96,0.29,1.18,0.59,0.59,3.54,0,0.1,Fake
50.92,8.24,15.97,1.01,1.01,2.35,0.17,1.34,1.01,0.67,4.37,0,0,Fake
47.12,7.2,11.38,2.59,2.31,0,0.14,0.58,1.44,0.29,3.89,0,0.14,Fake
55.12,8.45,14.78,1.16,1.9,1.16,0.11,2.53,4.96,1.37,2.96,0.21,0.32,Fake
48.09,6.98,12.79,3.11,2.23,0,0.06,1.41,0.82,0.41,4.57,0,0,Fake
48.85,9.65,16.28,1.3,2.31,0,0,1.3,0.29,1.15,7.49,0,0,Fake
46.2,9.75,14.7,1.8,1.18,0.62,0.06,2.2,0.34,4.28,2.93,0,0.11,Fake
47.98,9.81,13.86,1.4,0.93,1.71,0.16,1.25,0.47,0.47,4.83,0.16,0.16,Fake
50.55,9.13,14.82,1.25,1.87,0.16,0.08,1.79,0.39,0.47,6.01,0,0.08,Fake
47.37,6.24,14.93,4.04,1.96,1.47,0.61,0.24,2.08,2.08,6.36,0,0.37,Fake
53.56,6.71,13.58,0.84,1.26,0.59,0.17,1.17,0.84,3.77,3.44,0.17,0.17,Fake
49.94,9.28,12.55,1.51,1.25,2.13,0,1.25,0.75,0.63,1.88,0,0,Fake
48.44,8.34,17.03,2.55,2.67,0,0.12,1.74,0.35,0.23,4.63,0,0.35,Fake
42.28,7.31,15.22,2.5,2.27,0.32,0,2.41,1.76,0.93,2.64,0.05,0.37,Fake
45.83,8.16,13.72,2.95,2.6,0,0,2.95,0.52,7.99,4.69,0,0,Fake
41.95,7.66,15.07,2.31,2.07,0.48,0.16,1.67,0.64,0.4,5.58,0.16,0,Fake
32.12,3.86,15.04,2.01,1.18,1.3,0.19,1.47,0.36,1.73,4,0.12,0.14,Fake
46.07,8.45,15.74,1.15,3.07,0.19,0,1.54,0.19,0.19,6.33,0,0.19,Fake
44.22,9.07,16.77,2.97,2.33,0.48,0.08,1.85,0.24,2.17,3.13,0,0,Fake
37.68,6.04,10.81,2.07,1.43,1.91,0,3.18,0.64,1.91,4.45,0,0,Fake
46.83,9.64,15.48,1.14,1.14,1.27,0,1.27,0.63,2.41,3.17,0,0,Fake
52.33,10.15,15.06,1.52,2.55,1.13,0.29,1.67,0.59,0.93,3.73,0.05,0,Fake
50.46,6.88,17.28,2.14,1.83,0.31,0,0.92,0.31,3.67,4.13,0,0.15,Fake
43.45,7.99,11.84,2.87,2.24,0.77,0.07,2.52,0.14,12.4,5.19,0,0,Fake
49.5,8.38,15.83,1.21,2.21,0.74,0.07,1.95,0.34,0.94,5.37,0.07,0,Fake
40.28,7.78,16.15,1.79,0.9,1.2,0.2,2.29,0.6,0.5,5.38,0,0,Fake
48.89,8.55,13.85,1.03,2.22,0.34,0,1.54,0.85,0.85,2.74,0,0,Fake
35.89,7.78,13.64,3.83,1.91,0.24,0.24,1.2,0.24,0.84,3.71,0,0,Fake
57.6,5.48,12.72,2.47,0.53,2.65,0.18,1.59,1.94,2.83,5.12,0,0,Fake
41.39,9.21,15.37,3.05,1.15,0.17,0.4,0.86,0.52,0.98,5.12,0,0.12,Fake
54.65,4.68,12.85,1.5,2.18,0.5,0.19,1.87,0.44,2.68,3.87,0.12,0.12,Fake
51.3,6.81,12.75,2.9,4.64,0.29,0.14,1.3,0.43,0.72,4.49,0,0.14,Fake
42.79,7.87,14.59,2.62,1.15,0,0,1.31,0.66,0.49,4.26,0,0.49,Fake
41.94,10.23,13.17,0.77,2.17,1.02,0.26,0.51,0.13,0.51,4.86,0,0.26,Fake
49.89,7.49,13.19,2.11,1.9,1.69,0.21,1.48,1.37,2.95,5.27,0.53,0.32,Fake
37.23,10.95,13.93,2.25,1.58,1.03,0.12,1.22,0.12,0.67,2.98,0,0.06,Fake
45.69,9.48,16.4,1.52,1.9,1.23,0,1.14,0.09,1.14,2.65,0,0.09,Fake
44.84,9.43,14.59,2.94,2.14,0.09,0.27,1.42,0.53,1.42,4.63,0.09,0,Fake
44.37,6.88,15.06,2.51,3.24,0.24,0.16,1.13,1.13,0.57,4.7,0,0,Fake
49.59,8.86,11.92,1.99,2.4,0.75,0.08,2.57,0.25,0.66,3.97,0,0,Fake
49.68,7.93,13.32,1.06,1.69,4.23,0.11,1.8,1.8,1.06,2.22,0,0.11,Fake
36.07,7.31,13.68,4.54,1.89,0.24,0.19,1.63,0.21,1.28,4.17,0.02,0.19,Fake
50,8.45,12.82,2.82,2.39,0.28,0,1.41,0,1.27,5.63,0,0,Fake
49.91,8.38,14.57,1.37,1.73,1.64,0.09,1.64,0.46,0.91,4.37,0.27,0,Fake
40.21,9.21,11.89,0.82,1.86,0.93,0,2.56,0.82,1.17,3.85,0,0,Fake
45.44,8.13,15.75,2.16,4.15,3.98,0,1.49,0.33,1.49,3.15,0,0,Fake
44.33,5.25,16.07,1.52,2.37,0.17,0.17,1.69,0.34,0.34,3.38,0,0,Fake
50.65,9.79,16.98,1.9,1.1,0.9,0.2,0.9,0.3,2.1,4.5,0.2,0,Fake
41.39,10.67,14.04,3.93,2.25,0.56,0,2.06,1.12,0.19,3.75,0,0.56,Fake
43.2,10.06,15.48,1.18,1.18,1.18,0.49,3.55,0,0.59,3.45,0,0,Fake
51.83,10.26,16.67,2.38,1.47,0.18,0.18,0.92,0.37,0.92,5.68,0.18,0,Fake
48.86,8.09,13.9,1.43,2.61,0.67,0,3.29,0.25,3.2,3.62,0,0,Fake
54.01,7.37,14.37,1.49,2.71,3.17,0.19,1.21,1.21,1.21,3.36,0,0,Fake
48.88,8.09,13.3,5.93,1.68,0.24,0,2.96,0.4,0.24,4.65,0,0.16,Fake
41.99,10.07,15.1,2.97,1.49,1.49,0.11,2.17,0.34,0.23,5.95,0,0.11,Fake
46.07,8.17,14.29,2.48,2.42,0.24,0.12,1.15,1.76,1.39,5.08,0,0.24,Fake
56.2,6.62,12.49,1.03,2.89,0.19,0.56,1.49,1.21,1.49,4.57,0,0.09,Fake
40.05,8.7,14.36,3.56,0.92,0.66,0,0.79,0.53,0.79,5.4,0,2.37,Fake
42.87,9.77,14.82,2.55,1.32,0.67,0.14,1.59,0.24,0.53,4.76,0.02,0,Fake
52,8.22,12.83,1.35,2.7,0.84,0.06,2.98,0.84,0.45,5.06,0.11,0.17,Fake
41.21,8.53,16.15,5.56,3.62,0,0.26,0.9,0.9,1.42,4.26,0,0.13,Fake
42,8.61,14.76,1.58,0.53,0.18,0,1.23,2.11,0,5.45,0,0,Fake
43.73,9.49,13.9,3.9,1.02,2.03,0,1.53,0.85,0.51,4.24,0,0.17,Fake
43.51,9.93,17.39,0.97,0.75,1.04,0.3,1.57,0.07,0.9,1.72,0,0.15,Fake
44.67,8.93,15.98,0.82,1.64,1.64,0,1.48,0.41,0.33,3.44,0.08,0,Fake
44.58,6.72,14.66,4.73,2.29,0.76,0.31,1.98,0.76,2.14,4.12,0,0,Fake
48.11,10.56,13.57,2.56,3.02,0.15,0,1.21,0.75,3.32,7.54,0,0,Fake
45.57,10.01,16.21,1.53,1.91,1.24,0.29,1.43,0.29,2.1,2.67,0.1,0.19,Fake
50.71,8.69,14.38,5.69,2.53,0.16,0,2.37,0,0.63,6.48,0,0,Fake
46.05,6.2,13.35,2.44,2.82,0.75,0.19,1.69,0.75,0.38,3.2,0,0,Fake
49.38,9.85,12.99,1.01,2.46,2.58,0.22,1.57,1.57,0.45,1.79,0.11,0,Fake
45.92,10.48,13.03,0.85,2.19,1.46,0,2.44,0.24,0.49,3.53,0,0,Fake
40.2,6.34,13.47,4.95,1.58,0.59,0,1.98,0,0.4,1.78,0,0.2,Fake
44.68,8.98,14.66,2.3,2.01,0.57,0.07,1.36,0.43,0.93,3.38,0.14,0,Fake
46.91,7.15,15.68,3.3,2.34,0.41,0,3.16,0.14,0.14,6.88,0,0,Fake
55.21,6.15,13.88,2.37,1.1,2.05,0,2.05,0.47,2.21,3.47,1.42,0,Fake
44.11,8.29,13.58,2.28,1.68,0.72,0.12,1.44,0.24,0.48,4.09,0,0.48,Fake
47.18,10.73,13.44,2.78,2.51,0.27,0.07,1.97,0.27,0.41,4.14,0,0,Fake
45.22,6.42,12.84,1.5,1.5,0.27,0,4.92,0,11.75,5.74,0,0,Fake
51.04,8.65,14.19,1.21,1.73,2.08,0.17,0.69,0.52,0.69,3.46,0,0,Fake
48.51,11.29,16.13,1.61,1.24,0.99,0,1.61,0,1.36,2.98,0.12,0.12,Fake
44.89,7.2,14.95,1.34,2.42,0.48,0,3.76,0,4.68,1.72,0,0.05,Fake
47.65,11.18,14.71,1.29,1.29,1.76,0.12,1.18,1.18,0.71,4.71,0,0,Fake
45.41,9.83,12.29,2.35,1.39,0.75,0.32,1.39,0.75,0.96,4.17,0,0.11,Fake
48.31,8.09,12.13,2.7,1.24,4.04,0.67,1.69,0.45,4.38,6.07,0,0,Fake
50.51,7,12.97,1.71,2.9,0.17,0.17,2.56,0.34,0.68,3.24,0,0,Fake
39.72,8.22,14.1,4.27,1.29,0.18,0.18,1.11,0.32,0.43,3.84,0,0.11,Fake
39.15,8.53,12.66,5.43,1.68,0.39,0.26,1.55,0,0.39,4.39,0,0.13,Fake
49.67,10.2,14.14,1.43,1.64,1.43,0,1.86,0.66,0.55,2.74,0,0.22,Fake
42.97,6.53,12.87,1.39,1.98,0.4,0,2.18,0.4,2.38,1.39,0,1.39,Fake
47.82,8.77,14.43,3.3,2.43,0.61,0.04,2.24,0.3,0.57,4.25,0,0.11,Fake
49.3,7.59,12.83,2.58,1.17,0.08,0.08,0.86,0.78,0.63,4.62,0,0.08,Fake
46.2,9.5,17.4,1.02,2.34,0.73,0,1.9,0,1.46,4.82,0,0,Fake
43.53,9.24,13.61,3.63,0.92,1.42,0.18,1.17,1.29,2.16,6.16,0,0.06,Fake
44.69,8.7,14.25,2.42,2.54,1.45,0,1.81,0,2.17,3.62,0,0,Fake
51.05,5.82,15.65,2.55,1.91,1.82,0.45,0.82,0.73,0.55,4.37,0.09,0,Fake
42.67,10.05,15.65,3.62,0.99,0.25,0.25,1.57,0.91,0.25,2.14,0,0.25,Fake
47.89,5.86,14.1,2.38,2.56,2.01,0.27,2.11,1.01,1.01,3.39,0.18,0,Fake
45.52,10.42,13.75,5,1.88,0.52,0.1,2.81,0.73,3.02,2.5,0,0.1,Fake
48.37,6.64,14.36,2.57,3.52,0.68,0.27,1.9,0.14,8.13,5.01,0,0,Fake
44.75,7.2,14.4,0,2.33,1.95,0.39,1.95,0.39,2.33,1.56,0,0.19,Fake
46.09,9.05,13.31,2.47,0.96,1.92,0,1.51,0.41,0.69,5.49,0,0,Fake
45.65,8.06,14.35,2.69,2.61,0.64,1.13,1.34,0.71,1.48,5.02,0,0.57,Fake
48.79,10.38,16.31,0.81,2.49,1.82,0.13,2.02,0.34,0.74,4.72,0,0.2,Fake
43.39,9.51,15.41,1.39,1.86,2,0.09,1.25,0.14,0.51,3.29,0.05,0.28,Fake
41.19,7.57,15.42,1.15,1.63,2.11,0.19,1.72,0.29,1.72,4.5,0,0.1,Fake
45.05,11.72,16.18,1.83,1.03,1.66,0.29,2.17,0.06,0.91,3.26,0,0,Fake
47.08,11.28,14.56,3.9,2.36,3.49,0,1.64,0.1,0.82,2.77,0,0.1,Fake
41.13,7.75,16.99,1.79,1.19,0.45,0.3,1.04,0.75,0.3,3.43,0,0.15,Fake
46.2,9.16,13.65,2.14,2.53,0.19,0,0.78,1.75,0.58,4.09,0,0,Fake
49.42,7.42,14.93,2.22,2.22,2.12,0.19,1.06,1.35,1.93,3.18,0.1,0.1,Fake
53.04,7.9,13.02,0.91,2.27,0.4,0.17,2.39,0.17,0.97,3.13,0,0,Fake
50.47,8.21,13.96,0.74,2.79,0.83,0.41,2.28,0.59,0.47,3.94,0,0,Fake
36.01,6.95,15.24,8.2,2.32,0.09,0.09,1.07,0.62,0.53,3.65,0,0.18,Fake
38.73,7.29,15.25,3.24,2.56,0.4,0.13,2.16,0.4,2.29,3.91,0,0,Fake
38.64,12.09,12.64,4.03,1.28,0.18,0,0.55,0.18,0.18,5.13,0,0,Fake
52.18,8.21,14.38,0.95,2.03,0.82,0.08,0.87,0.66,1.82,4.14,0,0.05,Fake
47.88,9.23,16.35,1.54,1.35,2.69,0.19,3.08,2.12,0.19,3.65,0,0,Fake
40.33,7.98,15.52,2.84,0.77,1.2,0.77,1.97,0.11,1.53,2.84,0,0,Fake
52.9,4.39,11.78,1.41,2.46,0.53,0,2.46,1.05,0.7,3.51,0,0.18,Fake
42.63,9.01,15.81,1.86,1.5,1.93,0.21,1.29,0.36,1,4.72,0,0.07,Fake
47.95,10.19,15.12,1.88,1.33,1.88,0.11,1.55,0.5,0.78,3.21,0,0.06,Fake
45.53,8.17,14.59,0.39,2.14,0.39,0,1.56,0.78,0,2.33,0,0,Fake
46.8,4.51,16.35,3.76,1.69,0,0.38,1.32,0.56,3.38,6.95,0,0.19,Fake
39.42,7.8,16.16,2.23,1.25,0.56,0,0.84,0.28,0.14,5.85,0.14,0.14,Fake
47.1,6.65,12.99,3.7,3.06,0.21,0.32,2.22,0.42,1.37,5.91,0,0.11,Fake
44.58,10.5,11.96,1.47,2.03,1.02,0,1.69,0.23,0.9,4.63,0,0,Fake
41.51,8.49,13.46,1.72,1.03,0.09,0,1.72,1.11,0.51,6.6,0,0.6,Fake
47.34,8.88,13.02,1.38,2.37,0.99,0.39,2.37,0.39,1.97,2.17,0,0,Fake
51.56,6.22,13.94,1.49,3.11,0.54,0.27,1.49,0.95,1.62,2.44,0.14,0,Fake
42.72,5.86,15.29,2.09,2.3,0.42,0.1,1.99,0.21,12.36,3.04,0,0,Fake
47.83,9.07,16.64,1.7,1.32,2.65,0.19,3.21,2.27,0.19,3.78,0,0,Fake
34.95,3.93,13.08,1.87,1.5,2.8,0.37,1.12,1.87,0.75,4.11,0,0.19,Fake
48.22,9.38,15.19,1.43,2.14,0.31,0,3.67,0.2,1.02,2.55,0,0.1,Fake
46.88,7.93,14.16,2.27,1.56,0.85,0,1.98,0,0.57,4.11,0,0.14,Fake
46.28,6.38,12.5,0.8,2.13,0.8,0.53,0.8,0.93,2.13,6.65,0,0,Fake
40.27,7.88,14.41,2.67,2.08,0.15,0.59,1.19,0.59,0.74,6.98,0,0.15,Fake
50.4,7,15.95,1.48,1.48,2.62,0,1.82,0.81,0.61,4.1,0,0.07,Fake
42.02,10.48,14.88,3.81,1.79,0.36,0,0.95,1.07,0.24,3.81,0,0,Fake
49.29,5.99,14.44,2.83,1.83,1.53,0.05,1.73,1.1,4.23,6.27,0,0,Fake
48.84,9.51,11.47,3.03,2.93,1.17,0.07,2.02,0.23,0.52,3.1,0.03,0.1,Fake
41.23,9.79,15.26,2.62,2.05,0.23,0,1.25,0.23,0.57,5.81,0,0.34,Fake
59.53,5.92,13.32,2.44,2.26,0.61,0,3.83,0.26,1.48,6.35,0.09,0,Fake
34.55,10.52,13.25,3.9,0.65,2.08,0.26,3.51,0,0.78,3.38,0,0,Fake
42.83,8.29,12.44,5.87,2.07,0.17,0,1.38,0.17,0.52,3.45,0,0.17,Fake
42.18,8.87,13.65,2.67,1.3,1.12,0.06,0.87,0.5,0.93,4.78,0.06,0.12,Fake
40.62,10.78,14.62,2.95,2.36,0.44,0.15,2.07,1.03,0.59,5.02,0,0,Fake
39.89,6.65,11.52,2.75,1.86,0.35,0.35,1.68,0.71,1.51,2.84,0,0.35,Fake
41.95,8.5,13.63,3.54,1.06,0.88,0,0.53,1.95,0.35,6.55,0,0,Fake
44.4,8.71,14.25,1.31,3.26,0.54,0,4.03,0.22,2.83,4.57,0,0.22,Fake
40.78,7.82,13.97,1.96,1.26,1.4,0.14,1.12,0.28,0.98,4.19,0,0.14,Fake
46.02,6.55,13.1,2.34,1.87,0.78,0.16,2.65,1.25,0.94,5.15,0,0.31,Fake
53.64,8.82,14.29,1.12,1.4,0.98,0,2.38,2.24,0,3.22,0,0,Fake
55.09,7.68,15.66,0.95,2.03,0.69,0.43,2.63,0.3,1.38,3.88,0.09,0,Fake
42.11,7.25,16.5,3.41,2.28,0.57,0,1,1.28,0.85,3.98,0,0.14,Fake
45.74,7.17,13.47,2.72,2.55,0.38,0,2.55,0.27,4.24,2.99,0,0.22,Fake
48.6,8.31,12.67,1.25,2.91,0,0.1,3.43,0.31,5.92,3.32,0,0,Fake
45.35,10.42,15.46,1.2,1.52,3.21,0.08,2.32,0.96,0.64,5.29,0.08,0.24,Fake
43.59,7.22,14.49,1.46,2.42,1.26,0.15,1.82,0.56,1.21,5.86,0.15,0.1,Fake
41.87,10.54,15.96,1.25,1.73,2.5,0.24,1.13,0.48,1.55,2.03,0.18,0,Fake
49.73,6.03,14.44,1.65,3.29,0.18,0,1.46,0.73,0,7.5,0,0,Fake
50.09,8,14.06,2.99,3.43,0.26,0.18,1.58,0.7,0.7,5.18,0,0,Fake
49.26,6,12.98,1.2,3,0.11,0,2.45,0,7.53,3.22,0,0.16,Fake
46.26,9.06,15.85,1.37,1.99,1.72,0.07,1.17,0.48,1.1,4.46,0,0,Fake
47.83,6.26,15.13,2.09,1.04,0.87,0,0.87,0.35,0.87,6.26,0,0.35,Fake
44.22,7.81,17.81,2.5,1.25,0.16,0.16,2.03,0.31,0.78,3.12,0,0.16,Fake
47.66,5.86,14.25,2.3,2.45,1.78,0.22,1.86,0.89,1.04,3.86,0.15,0.07,Fake
48.78,8.42,13.41,1.38,2.24,0.13,0.2,1.45,0.26,1.38,5.06,0,0,Fake
39.36,7.55,14.71,6.96,1.19,1.79,0.4,2.78,0,0.2,5.17,0,0,Fake
50.79,8.75,14.2,2.01,2.01,0.72,0,1.43,0.57,0.86,2.87,0.14,0.14,Fake
45.41,7.06,13.02,2.72,1.31,0.91,0,1.11,0.61,0.4,3.94,0.2,0.4,Fake
47.48,8.06,14.45,2.35,1.34,1.01,0.11,1.68,0.56,0.45,5.04,0.11,0.11,Fake
45.25,9.2,16.1,3.07,1.69,0.61,0.15,2.15,0.77,0.15,5.06,0.61,0,Fake
49.05,8.83,12.64,1.49,0.95,0.41,0,0.95,0.68,0.82,4.76,0.14,0,Fake
43.9,8.63,15.54,4.56,1.6,0.25,0.12,0.99,0.37,1.11,4.56,0,0,Fake
46.89,9.52,14.19,2.6,2.34,0.61,0.09,2.08,0.35,0.78,4.24,0,0.09,Fake
48.03,8.28,12.89,1.76,1.63,0,0.27,2.44,1.22,0.68,3.39,0,0.27,Fake
44.7,8.83,14.88,1.99,2.56,0.5,0.36,1.99,0.28,0.64,3.7,0.21,0.21,Fake
49.12,8.14,13.57,1.63,1.63,0.68,0.27,1.09,1.22,2.71,3.39,0,0.14,Fake
52.67,10.5,13.44,1.66,1.1,0.92,0.18,0.92,0.74,1.1,1.29,0.18,0.18,Fake
45.2,8.94,15.24,3.81,1.64,1.84,0,2.3,0.59,0.79,4.93,0,0.07,Fake
49.52,10.56,14.47,3.22,2.09,1.29,0.21,1.18,1.13,1.39,3.48,0.05,0,Fake
46.57,8.37,15.55,2.37,3.08,1.89,0.08,1.03,0.71,1.03,6.95,0,0.16,Fake
45.87,10.55,13.34,0.76,1.52,0.38,0,1.78,1.27,0.38,4.96,0,0.51,Fake
46.91,9.18,14.16,0.96,1.14,0.24,0,2.34,1.68,0.18,5.7,0,0.12,Fake
50.78,9.25,14.77,1.24,1.87,0.16,0.08,1.79,0.39,0.47,6.3,0,0.08,Fake
49.13,4.84,13.77,2.85,1.61,0.12,0.12,1.99,0.25,1.99,7.07,0,0,Fake
48.83,8.88,14.67,1.97,2.47,0.12,0.12,3.95,0.12,0.99,3.21,0,0.12,Fake
47.06,7.23,13.11,3.06,2.47,1.11,0,1.11,0.26,0.26,6.04,0,0,Fake
46.12,10.12,14.81,1.61,2.32,0.57,0.14,1.09,0.38,0.57,2.89,0,0,Fake
41.03,8.05,13.91,1.84,1.26,0.8,0.23,0.69,0.57,2.18,4.83,0,0,Fake
39.85,9.08,12.15,5.08,1.08,0.31,0,2.92,0.31,0.46,6.92,0,0,Fake
47.32,9.34,14.94,1.74,1.99,1.62,0.12,0.75,1.74,0.5,3.86,0,0,Fake
37.47,6.41,15.6,4.04,2.23,0.28,0.14,1.81,0.14,1.81,3.34,0,0.14,Fake
43.97,7.12,16.07,2.87,1.49,0,0.11,1.38,1.61,1.84,5.28,0,0,Fake
46.24,6.99,14.25,1.75,1.75,1.34,0,1.88,0.54,0,3.9,0,0,Fake
47.86,7.99,16.23,3.7,2.02,0.42,0.17,1.35,0.67,2.52,5.3,0,0.17,Fake
48.31,8.29,15.56,1.64,1.64,0.72,0,0.61,0.51,0.61,4.2,0,0.1,Fake
39.51,8.62,15.31,3.68,1.67,0.27,0.07,1,0.87,2.41,3.88,0,0,Fake
43.78,6.04,13.02,1.09,3.13,0.65,0.07,2.33,0.51,2.33,2.62,0.07,0.15,Fake
37.94,7.29,12.9,2.06,2.24,2.24,0,1.5,0,0.37,4.49,0,0,Fake
44.79,7.39,14.96,3.03,1.96,1.16,0.09,3.38,2.05,2.67,2.49,0,0.09,Fake
45.95,6.3,14.18,2.68,1.37,0.72,0.36,2.39,0.22,0.36,2.24,0,0.22,Fake
46.17,10.25,13.81,0.86,1.62,1.94,0.22,2.27,0,0.32,3.88,0.22,0,Fake
44.2,6.18,13.76,2.28,0.76,1.3,0.33,0.76,1.41,1.63,7.48,0,0,Fake
46.38,9.88,14.12,1.25,2.12,0,0.38,3.25,0.5,0.62,3.5,0,0.12,Fake
42.67,9.91,15.27,2.63,1.62,1.11,0.1,2.33,0.4,0.71,4.75,0,0.2,Fake
46.54,8.91,13.88,1.51,2.1,2.47,0.08,1.43,0.42,0.66,3.1,0.05,0.03,Fake
