198,84.34,53.54,1.01,1.01,3.03,2.53,10.1,2.53,5.56,1.52,5.05,0,1
108,81.48,48.15,6.48,0,6.48,0.93,9.26,4.63,19.44,7.41,7.41,0,1
99,61.62,37.37,5.05,0,5.05,0,13.13,0,18.18,9.09,6.06,0,1
115,75.65,50.43,1.74,0.87,4.35,0,9.57,0.87,8.7,1.74,0.87,0,1
97,78.35,44.33,0,0,7.22,1.03,6.19,2.06,9.28,2.06,5.15,0,1
75,81.33,58.67,4,1.33,5.33,0,8,1.33,12,4,1.33,0,1
167,62.87,35.93,2.99,0.6,4.79,0,11.98,0,15.57,7.19,5.99,0,1
42,85.71,47.62,4.76,2.38,4.76,2.38,16.67,0,21.43,4.76,2.38,2.38,1
23,86.96,30.43,4.35,0,4.35,0,13.04,0,34.78,13.04,0,0,1
31,83.87,45.16,0,6.45,0,3.23,16.13,3.23,16.13,6.45,0,3.23,1
44,88.64,43.18,2.27,4.55,2.27,2.27,15.91,2.27,22.73,9.09,0,2.27,1
44,88.64,43.18,2.27,4.55,2.27,2.27,15.91,2.27,22.73,9.09,0,2.27,1
206,76.21,43.69,0.49,0,1.46,0.97,8.74,0.49,11.65,0.97,3.4,0,1
206,76.21,43.69,0.49,0,1.46,0.97,8.74,0.49,11.65,0.97,3.4,0,1
17,64.71,29.41,0,0,5.88,0,5.88,0,5.88,0,0,0,1
72,68.06,30.56,1.39,0,4.17,0,11.11,0,12.5,9.72,1.39,0,1
57,84.21,52.63,0,0,5.26,1.75,10.53,1.75,3.51,0,1.75,0,1
