22,86.36,63.64,0,9.09,0,4.55,13.64,0,9.09,0,4.55,0,0
17,64.71,29.41,0,5.88,0,0,11.76,0,11.76,0,5.88,0,0
15,66.67,46.67,0,13.33,0,0,13.33,0,6.67,0,0,6.67,0
17,70.59,52.94,0,11.76,0,5.88,11.76,0,11.76,0,5.88,0,0
13,69.23,7.69,0,0,7.69,0,15.38,0,7.69,7.69,30.77,0,0
27,62.96,29.63,3.7,0,0,0,3.7,0,11.11,3.7,3.7,3.7,0
11,63.64,45.45,9.09,18.18,0,0,45.45,0,9.09,9.09,0,0,0
26,46.15,23.08,0,0,7.69,0,7.69,0,7.69,0,0,0,0
22,63.64,36.36,0,4.55,0,4.55,13.64,4.55,9.09,0,4.55,0,0
18,83.33,55.56,0,0,0,0,11.11,0,11.11,0,5.56,0,0
10,70,30,0,0,0,10,10,0,10,0,10,0,0
14,71.43,42.86,0,0,0,0,7.14,0,0,0,0,14.29,0
25,60,28,0,0,4,0,4,0,12,0,4,0,0
24,62.5,45.83,4.17,0,0,0,12.5,0,8.33,4.17,4.17,0,0
11,72.73,54.55,0,0,9.09,0,9.09,0,9.09,0,0,0,0
95,85.26,57.89,1.05,2.11,6.32,2.11,11.58,0,12.63,1.05,5.26,0,0
17,70.59,23.53,0,0,11.76,0,0,0,0,0,17.65,0,0
20,65,45,0,0,0,0,10,0,5,0,5,5,0
59,66.1,23.73,0,0,1.69,1.69,10.17,0,11.86,1.69,11.86,3.39,0
38,57.89,31.58,0,0,2.63,0,13.16,0,2.63,2.63,0,2.63,0
74,75.68,47.3,0,0,2.7,1.35,4.05,1.35,8.11,0,4.05,0,0
103,57.28,31.07,0,0,2.91,0,5.83,0,4.85,0,3.88,0,0
9,66.67,22.22,0,0,0,0,11.11,11.11,22.22,11.11,11.11,0,0
28,82.14,60.71,0,7.14,0,0,14.29,0,0,0,0,0,0
23,43.48,21.74,0,0,0,4.35,8.7,13.04,0,0,0,0,0
20,75,50,0,0,5,0,0,10,5,0,0,0,0
32,53.12,34.38,3.12,0,3.12,0,3.12,0,9.38,3.12,9.38,0,0
41,65.85,14.63,0,0,14.63,0,0,2.44,9.76,0,9.76,0,0
72,84.72,44.44,0,4.17,1.39,0,13.89,1.39,4.17,0,1.39,1.39,0
98,15.31,6.12,0,0,2.04,0,3.06,0,1.02,0,0,0,0
21,57.14,33.33,4.76,0,0,0,9.52,4.76,4.76,4.76,0,4.76,0
21,80.95,47.62,0,0,4.76,0,9.52,0,4.76,0,0,0,0
48,81.25,47.92,0,0,6.25,0,10.42,8.33,2.08,0,4.17,0,0
36,75,41.67,0,8.33,2.78,2.78,13.89,0,8.33,2.78,0,0,0
27,74.07,44.44,0,0,7.41,0,7.41,0,7.41,0,3.7,0,0
14,64.29,42.86,0,7.14,0,0,14.29,0,14.29,7.14,0,0,0
48,79.17,43.75,2.08,0,6.25,2.08,10.42,0,10.42,2.08,2.08,0,0
160,63.12,36.88,2.5,0,2.5,0,6.25,1.88,9.38,2.5,3.75,0,0
10,70,50,0,0,0,0,0,0,10,0,10,0,0
24,58.33,33.33,0,0,0,0,4.17,0,0,0,0,0,0
25,68,48,0,0,0,0,4,0,0,0,0,4,0
109,73.39,44.95,1.83,0.92,0.92,2.75,13.76,0.92,8.26,1.83,0.92,0,1
